noise_level,mae,mse,train_loss,time
0.0,0.3882633149623871,0.21468545496463776,0.00011765047138563865,19725.669479846954
0.001,0.36755406856536865,0.198395237326622,0.00011267032534205794,18018.98709487915
0.005,0.43081140518188477,0.24444518983364105,0.00012150696038636391,22741.954685926437
0.01,0.3471579849720001,0.18945254385471344,0.00011448682919445599,14769.929209709167
0.05,0.4227469861507416,0.24220703542232513,0.00011887260248969807,16255.657842159271
0.1,0.3219822645187378,0.17783553898334503,0.00011756508511551772,18327.336321115494
