Task,Model,MAE,MSE,MAE_Std,MSE_Std,Total_Params,N_Seeds
Damped Oscillator,Classical,0.148133,0.026910,0.000000,0.000000,200257,1
Damped Oscillator,QASA,0.135914,0.023514,0.000000,0.000000,201405,1
Damped Oscillator,QLSTM,0.063247,0.006661,0.000000,0.000000,3929,1
Damped Oscillator,QnnFormer,0.102284,0.014749,0.000000,0.000000,190631,1
