seed,noise_level,mae,mse
42,0.0,0.388263,0.214685
43,0.0,0.358436,0.197282
44,0.0,0.40486735105514526,0.2273494005203247
42,0.001,0.367554,0.198395
43,0.001,0.331503,0.171968
44,0.001,0.42286548018455505,0.24179384112358093
42,0.005,0.430811,0.244445
43,0.005,0.369972,0.206616
44,0.005,0.35477015376091003,0.19285686314105988
42,0.01,0.347158,0.189453
43,0.01,0.332747,0.180177
44,0.01,0.3473753035068512,0.19280895590782166
42,0.05,0.422747,0.242207
43,0.05,0.3850356936454773,0.21218471229076385
44,0.05,0.34428104758262634,0.1922466903924942
42,0.1,0.322017,0.177836
43,0.1,0.404865562915802,0.22116708755493164
44,0.1,0.3388804495334625,0.1853047013282776
